name	record
*** THE HAMMERSTEIN QUESTION IS ANSWERED, FROM A DOCUMENT ***	Standesamt Schubin, Heiratsregister 1874, AKT NR. 9 — the ninth and last marriage of the year. Archiwum Państwowe w Bydgoszczy, Urząd Stanu Cywilnego Szubin Miasto, sygn. 141, "Akta małżeństw - pierwopis nr 1-9", scan 10, read at the image on genealogiawarchiwach.pl on 22 September 2026. SCHUBIN, 24 NOVEMBER 1874. The date the family record has always given, now standing on the register itself.
Sally Leibholz	*** BORN AT HAMMERSTEIN AND STILL LIVING THERE THE DAY HE MARRIED. *** The entry gives him as DER KAUFMANN SALLY LEIBHOLZ, mosaischer Religion, SIEBEN UND ZWANZIG JAHRE ALT — twenty-seven — GEBOREN ZU HAMMERSTEIN, WOHNHAFT ZU HAMMERSTEIN. Twenty-seven in November 1874 puts his birth in 1847, which is the year this archive has always carried for him and which no surviving register can confirm, Koszalin having stated on 16 September that the Hammerstein books are gone. THE MARRIAGE ENTRY DOES WHAT THE LOST BIRTH REGISTER WOULD HAVE DONE.
Jacob Leibholz Senior	SALLY'S FATHER, NAMED IN THE ENTRY AS "JACOB LEIBHOLZ", Kaufmann. *** THE SUFFIX "SENIOR" IS THIS ARCHIVE'S, NOT THE REGISTER'S *** — the entry calls him simply Jacob Leibholz, and the word is added here only so he is never confused with his grandson Jacob Leibholz born at Schubin in 1884, who was named after him and who died at Auschwitz. *** THIS IS A GENERATION ABOVE ANYTHING THIS ARCHIVE HELD. *** He is Kurt Luwinski's great-grandfather, and until today no record of him existed here in any form. AND IT EXPLAINS A NAME: the Jacob Leibholz born at Schubin on 8 August 1884, whose birth entry was read the same evening, was named for this man — the ordinary Ashkenazi practice of naming a child for a dead grandparent.
Wilhelmine Leibholz née Pollnow	SALLY'S MOTHER, named in the entry as his father's wife, "WILHELMINE GEB. POLLNOW". A NEW SURNAME ENTERING THIS ARCHIVE, and the second of Kurt's great-grandmothers to be recovered. POLLNOW IS ALSO A POMERANIAN TOWN — Polanów, Kreis Schlawe — and that is consistent with everything else known about where this family comes from, but the archive is NOT claiming the surname is toponymic on that basis. THE READING OF THE MAIDEN NAME IS THE LEAST CERTAIN THING ON THIS PAGE: it is Kurrent, and P/T/Z are the letters that confuse in that hand. Read at scale as POLLNOW and offered as such.
Friederica Schmul	THE BRIDE, mosaischer Religion, about twenty years old, GEBOREN ZU SCHUBIN, WOHNHAFT ZU SCHUBIN. So the marriage is a Hammerstein man marrying a Schubin woman IN HER OWN TOWN, which is the ordinary pattern and explains why the couple's children were born at Schubin.
# ---------------- WHAT THIS SETTLES, AND IT IS THE STANDING QUESTION ----------------
*** THE SCHUBIN BRANCH IS A HAMMERSTEIN FAMILY THAT MOVED EAST, AND IT IS NO LONGER AN INFERENCE ***	Until tonight that claim rested on the Bundesarchiv Gedenkbuch — on the observation that the German centre of gravity of the surname is Kreis Schlochau, and on a family record saying Sally was born at Hammerstein in 1847 which no register could confirm. NOW A REGISTRAR AT SCHUBIN WRITES IT DOWN IN 1874: this man was born at Hammerstein, he lives at Hammerstein, and he has come to Schubin to marry. THE MOVE EAST HAPPENS AT THIS WEDDING.
and it closes the loop the archive had half of	gedenkbuch-fifty.tsv noticed on 20 September that Sally was born at Hammerstein and married at Szubin, and said the archive "has held both facts for days without drawing the obvious line between them". THE LINE IS NOW DRAWN BY THE DOCUMENT AND NOT BY THIS ARCHIVE.
what it does NOT do, which matters for Georg	IT DOES NOT MAKE GEORG LEIBHOLZ A BROTHER. Georg was born at Hammerstein on 7 June 1884 and Jacob at Schubin on 8 August 1884, two months apart in different provinces, and two men cannot be brothers on those dates. THAT REASONING IS UNTOUCHED. What has changed is the surrounding probability: the family this archive descends from WAS a Hammerstein family, so a Hammerstein Leibholz is no longer a stranger by default. THE LANES STAY SEPARATE BECAUSE NO DOCUMENT JOINS THEM — but the reason for expecting them to be separate is now gone entirely.
# ---------------- HOW IT WAS FOUND, AND ONE MISTAKE ON THE WAY ----------------
the route	The portal's person index holds exactly ONE Leibholz, and it is this marriage. The unit's own "Indexes in unit" tab lists all nine marriages of 1874 in plain text, the ninth reading "Marriage act: Sally Leibholz, Friederica Schmul" at PAGE 10.
*** AND THE MISTAKE: PAGE TEN IS SCAN TEN, NOT SCAN NINE ***	The first attempt took "page 10" for scan index 9 and landed on akt Nr. 8 — Heinrich Gustav Julius Wengatz and Bertha Auguste Albrecht. Stepping back one gave Nr. 7, Carl Lemke, dated 24 November 1874 — THE RIGHT DATE AND THE WRONG PEOPLE, which is exactly the kind of near-miss that gets published as a find. IT WAS THE UNIT'S OWN INDEX THAT SETTLED IT, not more guessing. The rule: when a viewer offers an index, read the index before paging by arithmetic.
source	Archiwum Państwowe w Bydgoszczy, USC Szubin Miasto, sygn. 141, akt małżeństwa nr 9/1874, scan 10, modal id 328938661 on www.genealogiawarchiwach.pl, read at the image 22 September 2026. Found because the Bydgoszcz archive answered letter IU.631.434.2026 by pointing at the portal. Nothing downloaded, nothing purchased, no account created.
